level,code,name,Population,Average Annual log percentage change,Log percentage change,Average Annual percentage change,Percentage change,GVA per hour
ITL3,TLJ43,Kent Thames Gateway,325060.0,-0.012935775922536467,-0.194036638838047,-0.012852468375989412,-0.17637227304714953,35.04
ITL3,TLJ44,East Kent,492453.0,0.004464222549777593,0.0669633382466639,0.004474202035954056,0.06925627664613865,35.32
ITL3,TLJ45,Mid Kent,264279.0,-0.004095267713087066,-0.06142901569630599,-0.004086893539660297,-0.05958030159232364,34.2
ITL3,TLJ46,West Kent,341516.0,0.009806040648270554,0.1470906097240583,0.009854277406477818,0.15845892591806465,46.24
ITL3,TLK30,Cornwall and Isles of Scilly,527306.0,0.010974017582555066,0.164610263738326,0.011034452984240328,0.17893355600620242,32.74
ITL3,TLK41,Plymouth,252488.0,-0.001994644494807633,-0.029919667422114493,-0.0019926565134690266,-0.02947650492870124,33.97
ITL3,TLK42,Torbay,132070.0,-0.008481120346693889,-0.12721680520040834,-0.008445257103967818,-0.11945725434551191,27.68
ITL3,TLK43,Devon CC,739921.0,0.006948947911526678,0.10423421867290017,0.0069731478723458196,0.109860374499404,35.63
ITL3,TLK51,"Bristol, City of",414822.0,-0.0028356350864510676,-0.04253452629676602,-0.0028316184707284364,-0.04164262358145798,36.57
ITL3,TLK52,Bath & North East Somerset and South Gloucestershire,431535.0,0.012588189588504347,0.1888228438275652,0.012667754355335514,0.2078269595272615,48.99
ITL3,TLK61,North Somerset,200853.0,0.012829743154416857,0.19244614731625287,0.012912397408495924,0.21221122112211277,35.88
ITL3,TLK62,Somerset,525668.0,0.003956878763158341,0.059353181447375114,0.0039647175435559845,0.061149953041844896,34.53
ITL3,TLK63,"Bournemouth, Christchurch and Poole",363158.0,0.0007273298435755748,0.010909947653633623,0.0007275944120652689,0.010969678153782025,39.45
ITL3,TLK64,Dorset,364085.0,-0.004249324621839712,-0.06373986932759568,-0.004240309016567356,-0.06175096485882636,35.43
ITL3,TLK71,Swindon,201521.0,0.00399732994288294,0.059959949143244096,0.004005329922186274,0.061794019933555155,62.05
ITL3,TLK72,Wiltshire,464007.0,0.004262116427250717,0.06393174640876076,0.004271212163241334,0.06601963660986421,40.66
ITL3,TLK73,Gloucestershire CC,587610.0,0.003108420920090005,0.04662631380135007,0.003113257070029851,0.04773041352184593,40.77
ITL3,TLL31,Isle of Anglesey,69916.0,0.006569498787627322,0.09854248181440983,0.006591125277248588,0.10356128468429038,34.48
ITL3,TLL32,Gwynedd,119746.0,-0.00365657492851561,-0.05484862392773415,-0.0036498977993653092,-0.05337156599759496,29.27
ITL3,TLL33,Conwy and Denbighshire,209110.0,0.008319593550260447,0.12479390325390671,0.008354297542958244,0.13291493892188777,30.0
ITL3,TLL34,Flintshire and Wrexham,283872.0,0.017563030414755983,0.26344545622133975,0.017718167327383405,0.301406309388065,42.68
ITL3,TLL41,Mid Wales,207836.0,0.008659279618996922,0.12988919428495382,0.008696879632071663,0.13870220162224856,28.27
ITL3,TLL42,South West Wales,303651.0,0.007471872298244679,0.11207808447367018,0.007499856390500437,0.1186002025430406,32.3
ITL3,TLL43,Swansea,234139.0,0.0016835077874101027,0.02525261681115154,0.001684925682212679,0.025574165078728228,34.69
ITL3,TLL44,Neath Port Talbot,139481.0,0.004031545997475069,0.06047318996212603,0.004039683611086087,0.062339115836598014,34.21
ITL3,TLL51,Central Valleys and Bridgend,429587.0,0.0052170431548801115,0.07825564732320167,0.00523067562126478,0.08139908011552066,35.24
ITL3,TLL52,Cardiff and Vale of Glamorgan,458503.0,0.006746978454913943,0.10120467682370915,0.006769790589517655,0.10650309412658787,37.93
ITL3,TLH51,Norwich and East Norfolk,347345.0,0.010739676812004599,0.16109515218006898,0.010797554150086652,0.17479674796747924,37.2
ITL3,TLH52,North and West Norfolk,246438.0,0.0015331024267069893,0.02299653640060484,0.0015342782290306278,0.023262995367987926,33.63
ITL3,TLH53,Breckland and South Norfolk,247712.0,0.0111539977906468,0.167309966859702,0.011216435551615334,0.18212062674393725,40.29
ITL3,TLH61,Babergh and Mid Suffolk,181863.0,0.0049321443611908345,0.07398216541786251,0.0049443274064682186,0.07678760126805129,40.31
ITL3,TLH62,Ipswich,127387.0,0.006040617489445843,0.09060926234168765,0.006058898810892277,0.09484112601184003,42.52
ITL3,TLH63,East Suffolk,240139.0,0.013307358578202866,0.199610378673043,0.013396295541849623,0.22092696629213493,38.33
ITL3,TLH64,West Suffolk,164959.0,-0.0043973501601091885,-0.06596025240163783,-0.004387695972026373,-0.06383192601527976,35.65
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,339667.0,0.01396118970895562,0.2094178456343343,0.014059102245880473,0.23296007789678597,48.45
ITL3,TLI34,Wandsworth,294305.0,0.0002911064962275963,0.004366597443413944,0.00029114887183556704,0.004376144921636849,35.39
ITL3,TLI35,Westminster and City of London,226102.0,-0.006117841219824704,-0.09176761829737057,-0.006099165334006007,-0.08768286927796176,71.21
ITL3,TLI36,Camden,210273.0,0.015542470874889958,0.23313706312334936,0.01566388327602586,0.2625545171339565,59.44
ITL3,TLI41,Hackney and Newham,507519.0,-0.007171744925060667,-0.10757617387591001,-0.007146089330855254,-0.10199188491331623,37.41
ITL3,TLI42,Tower Hamlets,231893.0,-0.0267437665133075,-0.4011564976996125,-0.026389318774898696,-0.3304547294562137,72.96
ITL3,TLI43,Haringey and Islington,436548.0,0.020072845203838164,0.30109267805757245,0.020275659508202093,0.351334574798261,52.0
ITL3,TLI44,Lewisham and Southwark,543481.0,0.006323818749723919,0.0948572812458588,0.0063438563072060195,0.09950192438306549,41.21
ITL3,TLI45,Lambeth,289126.0,-0.0013568414078243645,-0.020352621117365466,-0.0013559213147085192,-0.020146904512067132,54.12
ITL3,TLI51,Bexley and Greenwich,466400.0,-0.014234204516625463,-0.21351306774938195,-0.014133377193358165,-0.19225839528326072,43.11
ITL3,TLI52,Barking & Dagenham and Havering,404245.0,-0.014571806776796889,-0.21857710165195332,-0.014466151817551953,-0.19633848657445085,39.9
ITL3,TLI53,Redbridge and Waltham Forest,507550.0,-0.020283867456235782,-0.30425801184353674,-0.020079533708414976,-0.26232948583420745,35.92
ITL3,TLI54,Enfield,297443.0,0.001102070238199578,0.01653105357299367,0.001102677740754121,0.016668447483705773,46.53
ITL3,TLI61,Bromley,304968.0,-0.0046751218415269115,-0.07012682762290368,-0.004664210470029961,-0.06772442588726557,42.92
ITL3,TLI62,Croydon,349308.0,0.01014325236503216,0.15214878547548238,0.010194869523639793,0.16433345945264266,51.92
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton",537746.0,-0.0004891366325728915,-0.007337049488593372,-0.0004890170247525694,-0.0073101990487938195,41.1
ITL3,TLI71,Barnet,339212.0,0.008103052592193728,0.1215457888829059,0.00813597117645104,0.1292410714285721,42.73
ITL3,TLI72,Brent,290901.0,0.0019431645757360745,0.02914746863604112,0.0019450537434766435,0.02957641350998319,45.02
ITL3,TLI73,Ealing,324022.0,-0.0059295129319297145,-0.08894269397894572,-0.005911968064758577,-0.08510199876365132,41.76
ITL3,TLI74,Harrow and Hillingdon,490618.0,-0.0010037289925911945,-0.015055934888867917,-0.0010032254251417516,-0.014943160982764603,39.97
ITL3,TLI75,Hounslow and Richmond upon Thames,420834.0,-0.0012043000434644568,-0.018064500651966853,-0.0012035751651866544,-0.017902315625607734,54.68
ITL3,TLJ12,Milton Keynes,235625.0,0.004976880394369706,0.07465320591554558,0.004989285634861007,0.07751041184636698,50.59
ITL3,TLJ13,Buckinghamshire,496371.0,-0.005967268579615788,-0.08950902869423683,-0.005949499793739488,-0.08561999057048586,40.15
ITL3,TLE22,North Yorkshire,594979.0,-0.0008479867123958466,-0.012719800685937699,-0.0008476272732707013,-0.012639245929733756,36.36
ITL3,TLE32,Sheffield,534035.0,0.005146142740814833,0.0771921411122225,0.005159406876653838,0.08024961681629095,36.08
ITL3,TLE33,Barnsley,227754.0,0.0019349237217534565,0.029023855826301848,0.001936796894612014,0.029449152542372792,34.03
ITL3,TLE34,Rotherham,255271.0,0.009455181205279455,0.1418277180791918,0.009500022647652484,0.15237809752198261,33.03
ITL3,TLE35,Doncaster,298388.0,0.0031638435612751556,0.04745765341912733,0.003168853796788884,0.048601795480342824,29.81
ITL3,TLE41,Bradford,507323.0,0.002889849498008227,0.04334774247012341,0.0028940291382761885,0.044300979519144246,33.46
ITL3,TLE42,Leeds,741665.0,0.008154605989602891,0.12231908984404338,0.008187945350526693,0.13011465236141828,41.47
